rank,combination_key,aggregate_score,active_experts,expert_policy_keys,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2025-12_expectancy_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-01_expectancy_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-02_expectancy_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-03_expectancy_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-04_expectancy_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R,2026-05_expectancy_R
22,2e50354aeecb1cb83448,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=8b7fbc9e1c6b27a3|震荡空头反转=3ca62173a4a94cd7|高波动多头突破=28fc75afa8e214d2|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
23,e2d0f60e77b4284a9f02,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=8b7fbc9e1c6b27a3|震荡空头反转=3ca62173a4a94cd7|高波动多头突破=28fc75afa8e214d2|高波动空头突破=a0e2c706682c117e,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
24,8fdd579a4281510b73a7,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=8b7fbc9e1c6b27a3|震荡空头反转=3ca62173a4a94cd7|高波动多头突破=28fc75afa8e214d2|高波动空头突破=83efa49662a5ae32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
25,9d706116f320022d0d6e,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=8b7fbc9e1c6b27a3|震荡空头反转=3ca62173a4a94cd7|高波动多头突破=4eb4cdc4282554b4|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
26,5265859318b7137a0434,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=8b7fbc9e1c6b27a3|震荡空头反转=3ca62173a4a94cd7|高波动多头突破=4eb4cdc4282554b4|高波动空头突破=a0e2c706682c117e,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
27,e5963c10e3193bee3922,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=8b7fbc9e1c6b27a3|震荡空头反转=3ca62173a4a94cd7|高波动多头突破=4eb4cdc4282554b4|高波动空头突破=83efa49662a5ae32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
28,b6407fe373106e7124bb,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=833be519e6ad7196|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
29,3898cd8bd8a6cc620d7c,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=833be519e6ad7196|高波动空头突破=a0e2c706682c117e,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
30,1731f6bb132fa608f64b,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=833be519e6ad7196|高波动空头突破=83efa49662a5ae32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
31,54cf131879e9d1d903fa,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=28fc75afa8e214d2|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
32,ee2781096c569f6e7bf9,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=28fc75afa8e214d2|高波动空头突破=a0e2c706682c117e,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
33,7bee99590d2f9b965390,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=28fc75afa8e214d2|高波动空头突破=83efa49662a5ae32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
34,f5050b0a2d300f55e9dd,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=4eb4cdc4282554b4|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
35,3efea0e0b55216e3b7d6,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=4eb4cdc4282554b4|高波动空头突破=a0e2c706682c117e,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
36,6adda82ee22437220d86,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=df304283a34f6d3c|高波动多头突破=4eb4cdc4282554b4|高波动空头突破=83efa49662a5ae32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
37,1a671103e5e1bd3f45b8,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=8718a8eb01fabc64|高波动多头突破=833be519e6ad7196|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
38,764cefe4a55643184b92,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=8718a8eb01fabc64|高波动多头突破=833be519e6ad7196|高波动空头突破=a0e2c706682c117e,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
39,98d588e8eb78f113b638,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=8718a8eb01fabc64|高波动多头突破=833be519e6ad7196|高波动空头突破=83efa49662a5ae32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
40,98507273aa6e40507e07,-8231.247498996898,趋势多头|趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势多头=07954c528814f7d2|趋势空头=e1d955589a54cdcf|震荡多头反转=a275b7d5c727098b|震荡空头反转=8718a8eb01fabc64|高波动多头突破=28fc75afa8e214d2|高波动空头突破=2a400564798f0c30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.2222197290936934,0.0,0.0,-1.2222197290936934,1.2222197290936934,-1.2222197290936934,14,5,0.35714285714285715,1.7171107186139636,0.8589525080156561,1.9990752720203546,1.1105973733446415,0.8549810209289126,2.800860372656487,0.06107007292349376,15,5,0.3333333333333333,1.9478089109721235,0.9036803801244615,2.155417948438647,1.0777089742193235,0.7022407536160022,5.005794593207549,0.04681605024106682,3,2,0.6666666666666666,1.7060828700512227,1.2954475222327746,1.3169833905048471,2.6339667810096943,2.116718217869671,1.2954475222327746,0.7055727392898903,10,5,0.5,1.6936006783525968,0.8492016386974243,1.994344571626571,1.9943445716265713,4.221995198275863,3.0237108478542183,0.4221995198275863
